title,url,seoName,companyid
Pidilite Industries Ltd.,/pidilite-industries-ltd/stocks/companyid-10460.cms,pidilite-industries-ltd,10460
Uflex Ltd.,/uflex-ltd/stocks/companyid-13781.cms,uflex-ltd,13781
Arvind Ltd.,/arvind-ltd/stocks/companyid-14037.cms,arvind-ltd,14037
ABB India Ltd.,/abb-india-ltd/stocks/companyid-14040.cms,abb-india-ltd,14040
Whirlpool of India Ltd.,/whirlpool-of-india-ltd/stocks/companyid-13483.cms,whirlpool-of-india-ltd,13483
Kama Holdings Ltd.,/kama-holdings-ltd/stocks/companyid-15381.cms,kama-holdings-ltd,15381
SRF Ltd.,/srf-ltd/stocks/companyid-13155.cms,srf-ltd,13155
DLF Ltd.,/dlf-ltd/stocks/companyid-12393.cms,dlf-ltd,12393
Aegis Logistics Ltd.,/aegis-logistics-ltd/stocks/companyid-23.cms,aegis-logistics-ltd,23
Karur Vysya Bank Ltd.,/karur-vysya-bank-ltd/stocks/companyid-12258.cms,karur-vysya-bank-ltd,12258
IRB Infrastructure Developers Ltd.,/irb-infrastructure-developers-ltd/stocks/companyid-20738.cms,irb-infrastructure-developers-ltd,20738
Godrej Agrovet Ltd.,/godrej-agrovet-ltd/stocks/companyid-9771.cms,godrej-agrovet-ltd,9771
Birla Corporation Ltd.,/birla-corporation-ltd/stocks/companyid-13961.cms,birla-corporation-ltd,13961
Endurance Technologies Ltd.,/endurance-technologies-ltd/stocks/companyid-38215.cms,endurance-technologies-ltd,38215
Thomas Cook (India) Ltd.,/thomas-cook-india-ltd/stocks/companyid-12897.cms,thomas-cook-india-ltd,12897
Container Corporation of India Ltd.,/container-corporation-of-india-ltd/stocks/companyid-4764.cms,container-corporation-of-india-ltd,4764
Vardhman Textiles Ltd.,/vardhman-textiles-ltd/stocks/companyid-11897.cms,vardhman-textiles-ltd,11897
Amara Raja Batteries Ltd.,/amara-raja-batteries-ltd/stocks/companyid-12713.cms,amara-raja-batteries-ltd,12713
Welspun India Ltd.,/welspun-india-ltd/stocks/companyid-12096.cms,welspun-india-ltd,12096
Ceat Ltd.,/ceat-ltd/stocks/companyid-13914.cms,ceat-ltd,13914
Indraprastha Gas Ltd.,/indraprastha-gas-ltd/stocks/companyid-751.cms,indraprastha-gas-ltd,751
Raymond Ltd.,/raymond-ltd/stocks/companyid-13214.cms,raymond-ltd,13214
Bajaj Hindusthan Sugar Ltd.,/bajaj-hindusthan-sugar-ltd/stocks/companyid-13998.cms,bajaj-hindusthan-sugar-ltd,13998
PDS Multinational Fashions Ltd.,/pds-multinational-fashions-ltd/stocks/companyid-41675.cms,pds-multinational-fashions-ltd,41675
Biocon Ltd.,/biocon-ltd/stocks/companyid-2082.cms,biocon-ltd,2082
United Breweries Ltd.,/united-breweries-ltd/stocks/companyid-1367.cms,united-breweries-ltd,1367
Berger Paints (India) Ltd.,/berger-paints-india-ltd/stocks/companyid-13971.cms,berger-paints-india-ltd,13971
Future Lifestyle Fashions Ltd.,/future-lifestyle-fashions-ltd/stocks/companyid-47561.cms,future-lifestyle-fashions-ltd,47561
Jain Irrigation Systems Ltd.,/jain-irrigation-systems-ltd/stocks/companyid-13532.cms,jain-irrigation-systems-ltd,13532
Shriram City Union Finance Ltd.,/shriram-city-union-finance-ltd/stocks/companyid-8699.cms,shriram-city-union-finance-ltd,8699
